Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:49
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
138:Seismic 1 - Results - 25:Increment 25
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	-316.89	-109.759	-801.717	0.0	-23.8433	-3.39055E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	-316.89	-109.759	-801.717	0.0	-23.8433	-3.39055E-3
4	Line 25104	3617	8.9	12.2246	-65.7	-408.006	-853.586	-1.45103E3	0.0	72.5025	-2.26962E-3
5	Line 25104	3586	8.9	6.11244	-65.7	-472.446	-577.06	-1.76866E3	0.0	35.9928	-3.00738E-3
6	Line 25104	3591	9.665	6.11244	-65.7	-472.446	-577.06	-1.76866E3	0.0	35.9928	-3.00738E-3
7	Line 25104	3655	8.9	18.3371	-65.7	-166.799	-359.976	-311.214	0.0	20.8366	-5.58831E-3
8	Line 25104	3627	9.665	12.2246	-65.7	-408.006	-853.586	-1.45103E3	0.0	72.5025	-2.26962E-3
9	Line 25104	3676	9.665	18.3371	-65.7	-166.799	-359.976	-311.214	0.0	20.8366	-5.58831E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	-253.212	41.3959	-261.493	0.0	-35.7851	-0.55478E-3
11	Line 25108	3551	8.9	7.01648E-15	-65.7	-316.89	-109.759	-801.717	0.0	-23.8433	-3.39055E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	-253.212	41.3959	-261.493	0.0	-35.7851	-0.55478E-3
13	Line 25108	3552	9.665	7.01648E-15	-65.7	-316.89	-109.759	-801.717	0.0	-23.8433	-3.39055E-3
14	Line 25109	3646	8.9	161.663	-65.7	-181.233	363.004	-143.103	0.0	-23.3016	-0.174802E-3
15	Line 25109	3668	9.665	161.663	-65.7	-181.233	363.004	-143.103	0.0	-23.3016	-0.174802E-3
16	Line 25109	3616	8.9	167.775	-65.7	-438.017	791.907	-1.32482E3	0.0	-92.4538	-7.97627E-3
17	Line 25109	3584	8.9	173.888	-65.7	-463.668	498.945	-1.81283E3	0.0	-34.0389	-2.22778E-3
18	Line 25109	3623	9.665	167.775	-65.7	-438.017	791.907	-1.32482E3	0.0	-92.4538	-7.97627E-3
